MAIN.PRIVATE_GAME	私人游戏
MAIN.PUBLIC_GAME	公开游戏
MAIN.JOIN_FRIEND	加入好友
MAIN.SINGLEPLAYER	单人模式
MAIN.TUTORIAL	教程
MAIN.SETTINGS	设置
MAIN.QUIT_GAME	退出游戏
POPUP.PRIVATE_GAME.HEADER	主持游戏
POPUP.PRIVATE_GAME.BODY	拥有最好电脑的人做主机。\n\n你是吗？
POPUP.PRIVATE_GAME.OPT1	是的！ :)
POPUP.PRIVATE_GAME.OPT2	不是我...  :'(
POPUP.PUBLIC_GAME.HEADER	警告
POPUP.PUBLIC_GAME.BODY	在与随机玩家玩游戏时，你可能会遇到骗子或真正刻薄的人...
POPUP.PUBLIC_GAME.OPT1	我理解
POPUP.PUBLIC_GAME.OPT2	不了谢谢 :(
POPUP.QUIT_GAME.HEADER	退出游戏
POPUP.QUIT_GAME.BODY	关闭游戏？
POPUP.QUIT_GAME.OPT1	是
POPUP.QUIT_GAME.OPT2	否
POPUP.SELF_DESTRUCT.HEADER	自我毁灭
POPUP.SELF_DESTRUCT.BODY	真的确定吗？
POPUP.SELF_DESTRUCT.OPT1	我完了
POPUP.SELF_DESTRUCT.OPT2	否
SAVES.GO_BACK	< 返回
SAVES.NEW_GAME	新游戏
SAVES.SINGLEPLAYER_MODE	单人模式
SAVES.MULTIPLAYER_MODE	多人模式
SAVES.HEADER	保存的游戏
SAVES.PAGE_INFO.HEADER	保存的游戏
SAVES.PAGE_INFO.DESCRIPTION	这是你所经历的所有乐趣，以及从你中断的地方重新开始的机会。
SAVES.SAVE_INFO.DELETE_SAVE	删除存档
SAVES.SAVE_INFO.LOAD_SAVE	加载存档
SAVES.SAVE_INFO.USE_BACKUP	使用备份
SAVES.SAVE_INFO.CURRENT_MOON	当前月相：
POPUP.MAIN_MENU.OPT1	是
POPUP.MAIN_MENU.BODY	退出到主菜单？
POPUP.MAIN_MENU.HEADER	主菜单
SAVES.SAVE_INFO.TOTAL_HAUL	总价值：
POPUP.LOAD_SAVE.HEADER	加载存档
POPUP.LOAD_SAVE.BODY	加载此存档？
POPUP.LOAD_SAVE.OPT1	是的！
POPUP.LOAD_SAVE.OPT2	否
POPUP.DELETE_SAVE.HEADER	删除存档
POPUP.DELETE_SAVE.BODY	你真的确定要永远删除这个存档吗？
POPUP.DELETE_SAVE.OPT1	是的！ :')
POPUP.DELETE_SAVE.OPT2	不...
POPUP.USE_BACKUP.HEADER	从备份恢复
POPUP.USE_BACKUP.BODY	用最新备份覆盖此存档？\n\n这是不可撤销的！
POPUP.USE_BACKUP.OPT1	是的！
POPUP.USE_BACKUP.OPT2	否
REGIONS.HEADER	区域
REGIONS.BACK	返回
REGIONS.REGION.PICK_BEST_REGION	选择最佳区域
REGIONS.REGION.ASIA	亚洲
REGIONS.REGION.AU	澳大利亚
REGIONS.REGION.CAE	加拿大东部
REGIONS.REGION.CN	中国大陆
REGIONS.REGION.EU	欧洲
REGIONS.REGION.HK	香港
REGIONS.REGION.IN	印度
REGIONS.REGION.JP	日本
REGIONS.REGION.ZA	南非
REGIONS.REGION.SA	南美洲
REGIONS.REGION.KR	韩国
REGIONS.REGION.TR	土耳其
REGIONS.REGION.UAE	阿联酋
REGIONS.REGION.US	美国东部
REGIONS.REGION.USW	美国西部
REGIONS.REGION.USSC	美国中南部
SAVES.SAVE_INFO.SORRY	抱歉！
SAVES.SAVE_INFO.PRESS_DELETE	按"删除存档"删除整个存档文件夹。
SAVES.SAVE_INFO.PLAYER_LIST	{players:list:{}|,   |   以及   }
SAVES.SAVE_INFO.CORRUPTED_SAVE_FILE	损坏的存档文件
SAVES.SAVE_FILE.UH_OH	哦不！
SAVES.SAVE_FILE.CORRUPTED_SAVE_FILE	损坏的存档文件
SAVES_RENAME.RENAME_SAVE	重命名存档
SAVES_RENAME.BACK	返回
SAVES_RENAME.CONFIRM	确认
SAVES.SAVE_INFO.CLICK_TO_RENAME	(点击重命名)
SETTINGS.HEADER	设置
SETTINGS.GAMEPLAY	游戏
SETTINGS.GRAPHICS	图形
SETTINGS.AUDIO	音频
SETTINGS.CONTROLS	键位
SETTINGS.LANGUAGE	语言
SETTINGS.BACK	< 返回
SETTINGS.BOOL.ON	开
SETTINGS.BOOL.OFF	关
SETTINGS.BOOL.TOGGLE	切换
SETTINGS.BOOL.HOLD	按住
SETTINGS.GAMEPLAY.HEADER	游戏
SETTINGS.GAMEPLAY.RESET_TO_DEFAULT_SETTINGS	重置为默认设置
SETTINGS.GAMEPLAY.TIPS	提示
SETTINGS.GAMEPLAY.PLAYER_NAMES	玩家ID
SETTINGS.GAMEPLAY.PHOTOSENSITIVITY	光敏性
SETTINGS.GAMEPLAY.ARACHNOPHOBIA	蜘蛛恐惧症
SETTINGS.GAMEPLAY.AIM_SENSITIVITY	瞄准灵敏度
SETTINGS.GAMEPLAY.CAMERA_SMOOTHING	相机平滑
SETTINGS.GAMEPLAY.CAMERA_SHAKE	相机抖动
SETTINGS.GAMEPLAY.CAMERA_NOISE	相机噪点
SETTINGS.GAMEPLAY.CAMERA_ANIMATION	相机动画
SETTINGS.GAMEPLAY.INVERT_VERICAL_AIM	反转垂直瞄准
SETTINGS.GAMEPLAY.ITEM_UNEQUIP_AUTO_HOLD	自动拾取未锁定装备
SETTINGS.GAMEPLAY.RICH_PRESENCE	增强显示
SETTINGS.GAMEPLAY.COSMETICS	外观装饰
SETTINGS.GRAPHICS.RESET_TO_DEFAULT_SETTINGS	重置为默认设置
SETTINGS.GRAPHICS.WINDOW_MODE	窗口模式
SETTINGS.GRAPHICS.VSYNC	垂直同步
SETTINGS.GRAPHICS.GAMMA	亮度
SETTINGS.GRAPHICS.MAX_FPS	最大帧数
SETTINGS.GRAPHICS.LIGHT_DISTANCE	光照距离
SETTINGS.GRAPHICS.SHADOW_QUALITY	阴影质量
SETTINGS.GRAPHICS.SHADOW_DISTANCE	阴影距离
SETTINGS.GRAPHICS.MOTION_BLUR	动态模糊
SETTINGS.GRAPHICS.LENS_DISTORTION	镜头畸变
SETTINGS.GRAPHICS.BLOOM	泛光效果
SETTINGS.GRAPHICS.CHROMATIC_ABERRATION	色差
SETTINGS.GRAPHICS.GRAIN	颗粒
SETTINGS.GRAPHICS.GLITCH_LOOP	故障循环
SETTINGS.GRAPHICS.PIXELATION	像素风格
SETTINGS.AUDIO.HEADER	音频
SETTINGS.AUDIO.RESET_TO_DEFAULT_SETTINGS	重置为默认设置
SETTINGS.AUDIO.MASTER_VOLUME	主音量
SETTINGS.AUDIO.MUSIC_VOLUME	音乐音量
SETTINGS.AUDIO.PROXIMITY_VOICE_VOLUME	近距离语音音量
SETTINGS.AUDIO.MICROPHONE	麦克风
SETTINGS.AUDIO.MICROPHONE_VOLUME	麦克风音量
SETTINGS.AUDIO.PUSH_TO_TALK	按键说话
SETTINGS.CONTROLS.HEADER	键位
SETTINGS.CONTROLS.RESET_TO_DEFAULT_SETTINGS	重置为默认设置
SETTINGS.CONTROLS.MOVEMENT	人物动作
SETTINGS.CONTROLS.MOVE_FORWARD	向前移动
SETTINGS.CONTROLS.MOVE_LEFT	向左移动
SETTINGS.CONTROLS.MOVE_BACK	向后移动
SETTINGS.CONTROLS.MOVE_RIGHT	向右移动
SETTINGS.CONTROLS.JUMP	跳跃
SETTINGS.CONTROLS.CROUCH	蹲下
SETTINGS.CONTROLS.SPRINT	冲刺
SETTINGS.CONTROLS.TUMBLE	翻滚
SETTINGS.CONTROLS.GRABBING	物品操作
SETTINGS.CONTROLS.GRAB	抓取
SETTINGS.CONTROLS.ROTATE	旋转
SETTINGS.CONTROLS.PUSH	推
SETTINGS.CONTROLS.PULL	拉
SETTINGS.CONTROLS.OTHER	其他
SETTINGS.CONTROLS.MAP	地图
SETTINGS.CONTROLS.INTERACT	互动
SETTINGS.CONTROLS.INVENTORY_1	物品栏1
SETTINGS.CONTROLS.INVENTORY_2	物品栏2
SETTINGS.CONTROLS.INVENTORY_3	物品栏3
SETTINGS.CONTROLS.CHAT	聊天
SETTINGS.CONTROLS.CONFIRM	确认
SETTINGS.CONTROLS.BACK	< 返回
SETTINGS.CONTROLS.MENU	菜单
SETTINGS.CONTROLS.SPECTATE_NEXT	观看下一个
SETTINGS.CONTROLS.SPECTATE_PREVIOUS	观看上一个
SETTINGS.CONTROLS.PUSH_TO_TALK	按键说话
SETTINGS.CONTROLS.TOGGLE_MUTE	切换静音
SETTINGS.CONTROLS.PLAYER_EXPRESSIONS	玩家表情
SETTINGS.LANGUAGE.HEADER	语言
COSMETICS.CATEGORY.PRESETS	预设
COSMETICS.CATEGORY.HEAD	头
COSMETICS.CATEGORY.ARMS	手臂
COSMETICS.CATEGORY.BODY	身体
COSMETICS.CATEGORY.LEGS	腿部
COSMETICS.CONFIRM	确认
COSMETICS.COLOR.HEADER	选择颜色
COSMETICS.COLOR.CONFIRM	确认
COSMETICS.PRESET.DELETE	删除
COSMETICS.TYPE.HAT	帽子
COSMETICS.TYPE.ARM_RIGHT	右臂服饰
COSMETICS.TYPE.ARM_LEFT	左臂服饰
COSMETICS.TYPE.LEG_RIGHT	右腿服饰
COSMETICS.TYPE.LEG_LEFT	左腿服饰
COSMETICS.TYPE.HEAD_TOP_MESH	头部上
COSMETICS.TYPE.HEAD_BOTTOM_MESH	头部下
COSMETICS.TYPE.BODY_TOP_MESH	身体上
COSMETICS.TYPE.BODY_BOTTOM_MESH	身体下
COSMETICS.TYPE.ARM_RIGHT_MESH	右臂
COSMETICS.TYPE.ARM_LEFT_MESH	左臂
COSMETICS.TYPE.LEG_RIGHT_MESH	右腿
COSMETICS.TYPE.LEG_LEFT_MESH	左腿
COSMETICS.TYPE.GRABBER_MESH	抓取器
COSMETICS.TYPE.EYE_LID_RIGHT_MESH	右侧眼皮
COSMETICS.TYPE.EYE_LID_LEFT_MESH	左侧眼皮
COSMETICS.TYPE.BODY_TOP_OVERLAY	身体上部皮肤
COSMETICS.TYPE.EARS	耳朵
COSMETICS.TYPE.EYEWEAR	眼镜
COSMETICS.TYPE.BODY_TOP	上半身服饰
COSMETICS.TYPE.BODY_BOTTOM	下半身服饰
COSMETICS.TYPE.BODY_BOTTOM_OVERLAY	身体下部皮肤
COSMETICS.TYPE.HEAD_TOP_OVERLAY	头部上皮肤
COSMETICS.TYPE.HEAD_BOTTOM_OVERLAY	头部下皮肤
POPUP.DELETE_PRESET.HEADER	删除预设
POPUP.DELETE_PRESET.BODY	你真的确定要永远删除这个预设吗？
POPUP.DELETE_PRESET.OPT1	是的！ :')
POPUP.DELETE_PRESET.OPT2	不...
SETTINGS.CONTROLS.ANGRY	愤怒
SETTINGS.CONTROLS.SAD	悲伤
SETTINGS.CONTROLS.SUSPICIOUS	可疑
SETTINGS.CONTROLS.EYES_CLOSED	闭眼
SETTINGS.CONTROLS.SCARED	害怕
SETTINGS.CONTROLS.HAPPY	开心
POPUP.COSMETICS_COLOR_ALL.HEADER	更改颜色
POPUP.COSMETICS_COLOR_ALL.BODY	这将替换所有身体部位和外观装饰的颜色。\n\n这是不可撤销的！
POPUP.COSMETICS_COLOR_ALL.OPT1	是的！ :')
POPUP.COSMETICS_COLOR_ALL.OPT2	不...
SETTINGS.AUDIO.SFX_VOLUME	音效音量
SETTINGS.AUDIO.TEXT_TO_SPEECH_VOLUME	文本转语音音量
SETTINGS.CAMERA_ANIMATION.OFF	关
SETTINGS.CAMERA_ANIMATION.VERY_LOW	非常低
SETTINGS.CAMERA_ANIMATION.LOW	低
SETTINGS.CAMERA_ANIMATION.MEDIUM	中等
SETTINGS.CAMERA_ANIMATION.DEFAULT	默认
SETTINGS.RICH_PRESENCE.OFF	关
SETTINGS.RICH_PRESENCE.MINIMAL	最小
SETTINGS.RICH_PRESENCE.FULL	全部
SETTINGS.WINDOW_MODE.WINDOWED	窗口化的
SETTINGS.WINDOW_MODE.FULLSCREEN	全屏
SETTINGS.MAX_FPS.UNLIMITED	无限制
SETTINGS.LIGHT_DISTANCE.VERY_LOW	非常低
SETTINGS.LIGHT_DISTANCE.LOW	低
SETTINGS.LIGHT_DISTANCE.MEDIUM	中等
SETTINGS.LIGHT_DISTANCE.HIGH	高
SETTINGS.LIGHT_DISTANCE.VERY_HIGH	非常高
SETTINGS.SHADOW_QUALITY.VERY_LOW	非常低
SETTINGS.SHADOW_QUALITY.LOW	低
SETTINGS.SHADOW_QUALITY.MEDIUM	中等
SETTINGS.SHADOW_QUALITY.HIGH	高
SETTINGS.SHADOW_QUALITY.VERY_HIGH	非常高
SETTINGS.SHADOW_DISTANCE.VERY_LOW	非常低
SETTINGS.SHADOW_DISTANCE.LOW	低
SETTINGS.SHADOW_DISTANCE.MEDIUM	中等
SETTINGS.SHADOW_DISTANCE.HIGH	高
SETTINGS.SHADOW_DISTANCE.VERY_HIGH	非常高
SETTINGS.RENDER_SIZE.SMALL	小
SETTINGS.RENDER_SIZE.MEDIUM	中等
SETTINGS.RENDER_SIZE.DEFAULT	默认
SETTINGS.MIC_DEVICE.NONE	<无>
POPUP.RESET_GAMEPLAY_SETTINGS.HEADER	重置游戏设置
POPUP.RESET_GAMEPLAY_SETTINGS.BODY	将游戏设置重置为默认属性？
POPUP.RESET_GAMEPLAY_SETTINGS.OPT1	是的！
POPUP.RESET_GAMEPLAY_SETTINGS.OPT2	否
SETTINGS.GRAPHICS.HEADER	图形
POPUP.RESET_GRAPHICS_SETTINGS.HEADER	重置图形设置
POPUP.RESET_GRAPHICS_SETTINGS.BODY	将图形设置重置为默认属性？
POPUP.RESET_GRAPHICS_SETTINGS.OPT1	是的！
POPUP.RESET_GRAPHICS_SETTINGS.OPT2	否
POPUP.RESET_AUDIO_SETTINGS.HEADER	重置音频设置
POPUP.RESET_AUDIO_SETTINGS.BODY	将音频设置重置为默认属性？
POPUP.RESET_AUDIO_SETTINGS.OPT1	是的！
POPUP.RESET_AUDIO_SETTINGS.OPT2	否
POPUP.RESET_CONTROLS_SETTINGS.HEADER	重置键位设置
POPUP.RESET_CONTROLS_SETTINGS.BODY	将键位设置重置为默认属性？
POPUP.RESET_CONTROLS_SETTINGS.OPT1	是的！
POPUP.RESET_CONTROLS_SETTINGS.OPT2	否
COSMETICS.TYPE.FOOT_RIGHT	右脚鞋子
COSMETICS.TYPE.FOOT_LEFT	左脚鞋子
COSMETICS.TYPE.ARM_RIGHT_OVERLAY	右臂皮肤
COSMETICS.TYPE.ARM_LEFT_OVERLAY	左臂皮肤
COSMETICS.TYPE.LEG_RIGHT_OVERLAY	右腿皮肤
COSMETICS.TYPE.LEG_LEFT_OVERLAY	左腿皮肤
PASSWORD.HEADER	密码
PASSWORD.SKIP	跳过
LOADING.LOADING	加载中
LOADING.STUCK_PROMPT_TOP_TEXT	加载卡顿？
LOADING.STUCK_PROMPT_BOTTOM_TEXT	按[Esc]退出到主菜单
LOBBY.HEADER	大厅
LOBBY.CHAT_PROMPT	按[T]聊天
LOBBY.START_GAME	开始游戏
LOBBY.INVITE	邀请
LOBBY.SETTINGS	设置
LOBBY.CUSTOMIZE	自定义
LOBBY.LEAVE	离开
POPUP.START_GAME.HEADER	开始游戏
POPUP.START_GAME.BODY	大家准备好了吗？\n\n游戏开始后，新玩家无法加入。
POPUP.START_GAME.OPT1	是的！
POPUP.START_GAME.OPT2	等等！
POPUP.LEAVE_LOBBY.HEADER	离开大厅
POPUP.LEAVE_LOBBY.BODY	你确定吗？
POPUP.LEAVE_LOBBY.OPT1	是
POPUP.LEAVE_LOBBY.OPT2	否
POPUP.NEW_GAME.HEADER	新游戏
POPUP.NEW_GAME.BODY	你想开始一场游戏吗？
POPUP.NEW_GAME.OPT1	是的！
POPUP.NEW_GAME.OPT2	否
PASSWORD.CONFIRM	确认
LOBBY.PLAYER_JOINING	玩家加入中...
COSMETICS.TYPE.HEAD_BOTTOM	脸部下部
POPUP.COSMETICS_RESET_ALL.HEADER	清空
POPUP.COSMETICS_RESET_ALL.BODY	你确定要卸下所有身体部位和外观装饰吗？\n\n这是不可撤销的！
POPUP.COSMETICS_RESET_ALL.OPT1	是的！ :')
POPUP.COSMETICS_RESET_ALL.OPT2	不...
POPUP.COSMETICS_RESET_BODY.HEADER	清空
POPUP.COSMETICS_RESET_BODY.BODY	你确定要卸下所有身体部位吗？\n\n这是不可撤销的！
POPUP.COSMETICS_RESET_BODY.OPT1	是的！ :')
POPUP.COSMETICS_RESET_BODY.OPT2	不...
POPUP.COSMETICS_RESET_COSMETICS.HEADER	清空
POPUP.COSMETICS_RESET_COSMETICS.BODY	你确定要卸下所有外观装饰吗？\n\n这是不可撤销的！
POPUP.COSMETICS_RESET_COSMETICS.OPT1	是的！ :')
POPUP.COSMETICS_RESET_COSMETICS.OPT2	不...
POPUP.COSMETICS_RANDOMIZE_ALL.HEADER	随机化
POPUP.COSMETICS_RANDOMIZE_ALL.BODY	你确定要随机化所有身体部位和外观装饰吗？\n\n这是不可撤销的！
POPUP.COSMETICS_RANDOMIZE_ALL.OPT1	是的！ :')
POPUP.COSMETICS_RANDOMIZE_ALL.OPT2	不...
POPUP.COSMETICS_RANDOMIZE_BODY.HEADER	随机化
POPUP.COSMETICS_RANDOMIZE_BODY.BODY	你确定要随机化所有身体部位吗？\n\n这是不可撤销的！
POPUP.COSMETICS_RANDOMIZE_BODY.OPT1	是的！ :')
POPUP.COSMETICS_RANDOMIZE_BODY.OPT2	不...
POPUP.COSMETICS_RANDOMIZE_COSMETICS.HEADER	随机化
POPUP.COSMETICS_RANDOMIZE_COSMETICS.BODY	你确定要随机化所有外观装饰吗？\n\n这是不可撤销的！
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT1	是的！ :')
POPUP.COSMETICS_RANDOMIZE_COSMETICS.OPT2	不...
POPUP.COSMETICS_COLOR_BODY.HEADER	更改颜色
POPUP.COSMETICS_COLOR_BODY.BODY	这将替换所有身体部位的颜色。\n\n这是不可撤销的！
POPUP.COSMETICS_COLOR_BODY.OPT1	是的！ :')
POPUP.COSMETICS_COLOR_BODY.OPT2	不...
POPUP.COSMETICS_COLOR_COSMETICS.HEADER	更改颜色
POPUP.COSMETICS_COLOR_COSMETICS.BODY	这将替换所有外观装饰的颜色。\n\n这是不可撤销的！
POPUP.COSMETICS_COLOR_COSMETICS.OPT1	是的！ :')
POPUP.COSMETICS_COLOR_COSMETICS.OPT2	不...
COSMETICS.TYPE.FACE_TOP	脸部上部
COSMETICS.TYPE.FACE_BOTTOM	脸部中部
MAIN.CUSTOMIZE	自定义
ESC.HEADER	菜单
ESC.CONTINUE	继续
ESC.CUSTOMIZE	自定义
ESC.SETTINGS	设置
ESC.SELF_DESTRUCT	自爆
ESC.ACTIVE_MOONS	月相
ESC.MAIN_MENU	主菜单
ESC.QUIT_GAME	退出游戏
POPUP.MAIN_MENU.OPT2	否
MOONS.HEADER	活跃月相
MOONS.BACK  返回
MOONS.MOON_1.NAME	新月
MOONS.MOON_1.ATTRIBUTE_1	卡车治疗现恢复 35 生命。
MOONS.MOON_1.ATTRIBUTE_2	怪物现在更难被贵重物品击倒。
MOONS.MOON_2.NAME	半月
MOONS.MOON_2.ATTRIBUTE_1	怪物现会超载你的抓取器。
MOONS.MOON_2.ATTRIBUTE_2	怪物现仅受深坑重创，但能存活。
MOONS.MOON_2.ATTRIBUTE_3	卡车治疗现恢复 25 生命。
MOONS.MOON_3.NAME	满月
MOONS.MOON_3.ATTRIBUTE_1	怪物现会额外加快 25% 超载你的抓取器。
MOONS.MOON_3.ATTRIBUTE_2	怪物现从深坑受到伤害减少。
MOONS.MOON_4.NAME	超级月亮
MOONS.MOON_4.ATTRIBUTE_1	敌人灵魂球摧毁时将爆炸。
MOONS.MOON_4.ATTRIBUTE_2	怪物现会额外加快 50% 超载你的抓取器。
MOONS.MOON_4.ATTRIBUTE_3	怪物现从深坑受到伤害更少。
LOBBY.PING	{ping} 毫秒
REGIONS.PING	{ping} 毫秒
SPLASH.PHOTOSENSITIVITY_WARNING.HEADER	光敏性警告
SPLASH.PHOTOSENSITIVITY_WARNING.SUBHEADER	这个游戏包含闪烁的灯光。
SPLASH.PHOTOSENSITIVITY_WARNING.TEXT	当暴露于光模式和闪烁的灯光下时，一些人可能会出现癫痫发作。如果你在玩耍时感到任何不适，请立即停止玩耍并咨询医生。
LEVEL.NAME.SHOP	服务站
LEVEL.NAME.ARENA	废品处理竞技场
LEVEL.NAME.ARCTIC	麦詹內克研究所
LEVEL.NAME.MANOR	海德曼庄园
LEVEL.NAME.MUSEUM	人类艺术博物馆
LEVEL.NAME.WIZARD	斯威夫特布鲁姆学院
LOADING.LEVEL.SHOP	商店
LOADING.LEVEL.LEVEL_NUMBER	关卡 {number}
LOADING.LEVEL.GAME_OVER	游戏结束
SAVES.SAVE_INFO.PLAYER_SOLO 你自己玩吧!
POPUP.SAVE_LIMIT.HEADER	存档数量已达上限
POPUP.SAVE_LIMIT.BODY	你最多同时拥有{limit}个存档，请删除部分存档以腾出空间。
POPUP.SAVE_LIMIT.BUTTON	确定
POPUP.KICKED.HEADER	已被移出房间
POPUP.KICKED.BODY	你被房主踢出游戏。
POPUP.KICKED.BUTTON	知晓
POPUP.DISCONNECTED.HEADER	连接断开
POPUP.DISCONNECTED.STUCK_LOADING	加载卡死
POPUP.DISCONNECTED.HOST_DISCONNECTED	房主已离线
POPUP.DISCONNECTED.BUTTON	知晓
POPUP.VERSION_MISMATCH.HEADER	游戏版本不匹配
POPUP.VERSION_MISMATCH.BODY	当前房间游戏版本：\n{version}
POPUP.VERSION_MISMATCH.BUTTON	知晓
POPUP.LOBBY_CLOSED.HEADER	房间已关闭
POPUP.LOBBY_CLOSED.BODY	该游戏房间已解散。
POPUP.LOBBY_CLOSED.BUTTON	知晓
POPUP.DISCONNECTED.CAUSE_PREFIX	原因：
POPUP.DISCONNECTED.BANNED_LOBBY 你已被该房间封禁
PUBLIC_GAME_CHOICE.HEADER	公开游戏
PUBLIC_GAME_CHOICE.RANDOM_MATCHMAKING	随机匹配
PUBLIC_GAME_CHOICE.SERVER_LIST	服务器列表
PUBLIC_GAME_CHOICE.BACK	返回
SERVER_LIST.HEADER	服务器列表
SERVER_LIST.SEARCH	搜索
SERVER_LIST.CREATE_NEW	创建新房间
SERVER_LIST.BACK	返回
SERVER_LIST_SEARCH.HEADER	搜索
SERVER_LIST_SEARCH.CONFIRM	确认
SERVER_LIST_SEARCH.BACK	返回
SERVER_LIST_CREATE_NEW.HEADER	创建新服务器
SERVER_LIST_CREATE_NEW.CONFIRM	确认
SERVER_LIST_CREATE_NEW.BACK	返回
SETTINGS.GAMEPLAY.INVERT_VERTICAL_AIM	垂直瞄准反转
